SD,Gas,Coal,Nuclear,Hydro,Net Pumped,Wind,OCGT,Oil,Biomass,French Int,Dutch Int,NI Int,Eire Int,Nemo Int,Net Supply
2010-01-01,"418,674","232,291","191,982","4,641","-3,854","7,020",451,0,0,"45,222",0,"-8,521",0,0,"887,904"
2010-01-02,"456,961","274,253","191,019","4,826","-2,349","10,138",0,0,0,"6,373",0,"-7,737",0,0,"933,483"
2010-01-03,"464,772","278,136","190,175","4,123","-3,897","4,171",0,0,0,"18,786",0,"-6,051",0,0,"950,214"
2010-01-04,"482,219","474,204","191,406","4,703","-3,632","5,973",240,0,0,"-31,833",0,"-7,576",0,0,"1,115,702"
2010-01-05,"468,306","505,552","189,244","4,025","-2,957","12,493",0,"4,187",0,"-36,205",0,"-7,370",0,0,"1,137,275"
2010-01-06,"457,551","507,269","189,280","4,284","-3,457","9,459",0,0,0,"-38,593",0,"-7,065",0,0,"1,118,727"
2010-01-07,"470,772","532,580","195,375","4,630","-3,132","2,283",115,0,0,"-41,200",0,"-7,608",0,0,"1,153,815"
2010-01-08,"465,426","536,671","182,764","4,402","-1,397","2,663",109,"1,951",0,"-33,442",0,"-8,771",0,0,"1,150,374"
2010-01-09,"449,763","453,043","178,414","4,320","-5,927","2,731",0,755,0,"-35,123",0,"-5,228",0,0,"1,042,747"
2010-01-10,"383,138","477,441","178,712","4,748","-5,092","17,403",167,741,0,"-39,993",0,"-5,316",0,0,"1,011,947"
2010-01-11,"458,826","519,530","180,099","5,072","-3,800","18,644",266,"2,555",0,"-34,077",0,"-6,639",0,0,"1,140,474"
2010-01-12,"487,148","497,466","181,025","4,995","-9,526","25,461",125,0,0,"-41,790",0,"-6,745",0,0,"1,138,157"
2010-01-13,"528,197","448,453","191,446","5,013","-1,967","16,384",211,0,0,"-37,340",0,"-7,187",0,0,"1,143,208"
2010-01-14,"518,890","458,001","196,057","4,933","-1,437","7,555",0,0,0,"-35,557",0,"-9,245",0,0,"1,139,196"
2010-01-15,"494,472","416,714","196,569","5,172","-7,122","25,007",0,0,0,"-37,580",0,"-8,541",0,0,"1,084,690"
2010-01-16,"454,515","307,782","191,374","7,482","-1,531","19,429",0,0,0,739,0,"-7,867",0,0,"971,923"
2010-01-17,"434,348","256,679","200,115","7,097","-5,705","13,701",168,0,0,"22,442",0,"-6,792",0,0,"922,051"
2010-01-18,"490,056","381,466","201,207","9,211","-1,610","6,886",186,0,0,"-23,490",0,"-7,626",0,0,"1,056,284"
2010-01-19,"486,905","329,920","193,824","8,007","-2,402","13,152",110,0,0,"-16,415",0,"-7,905",0,0,"1,005,195"
2010-01-20,"513,849","362,306","205,953","7,862","-1,006","16,547",0,0,0,"-16,916",0,"-7,308",0,0,"1,081,286"
2010-01-21,"507,835","366,719","203,705","7,902","-2,909","20,203",0,0,0,"-20,533",0,"-6,781",0,0,"1,076,141"
2010-01-22,"479,505","386,169","195,954","7,709",-910,"8,247",0,0,0,"-16,476",0,"-8,690",0,0,"1,051,507"
2010-01-23,"470,603","291,230","191,535","7,447","-2,361","2,374",0,0,0,797,0,"-7,424",0,0,"954,200"
2010-01-24,"453,488","279,730","191,406","6,567","-7,305","4,107",113,0,0,"10,042",0,"-7,968",0,0,"930,179"
2010-01-25,"503,194","399,995","190,412","6,560","1,656","3,114",282,0,0,"-18,596",0,"-8,003",0,0,"1,078,613"
2010-01-26,"518,324","425,871","193,533","5,754","-8,170","8,103",135,0,0,"-33,876",0,"-7,500",0,0,"1,102,172"
2010-01-27,"481,213","428,288","194,976","8,399","-5,264","22,261",252,"1,509",0,"-37,360",0,"-7,618",0,0,"1,086,655"
2010-01-28,"436,566","454,307","199,562","9,279","-1,579","12,959",0,0,0,"-38,192",0,"-8,334",0,0,"1,064,567"
2010-01-29,"421,389","446,915","198,836","8,887","-2,593","16,176",0,0,0,"-38,716",0,"-9,218",0,0,"1,041,674"
2010-01-30,"410,449","400,033","189,090","7,000","1,837","8,867",0,0,0,"-37,102",0,"-8,800",0,0,"971,374"
2010-01-31,"415,656","389,956","189,153","6,474","-4,045","9,683",0,0,0,"-35,740",0,"-7,725",0,0,"963,410"
2010-02-01,"459,367","469,798","186,535","6,762","-5,609","9,542",66,0,0,"-38,221",0,"-8,441",0,0,"1,079,798"
2010-02-02,"477,255","463,804","174,816","5,855","-3,151","6,262",11,0,0,"-40,820",0,"-8,611",0,0,"1,075,420"
2010-02-03,"490,507","462,472","175,228","6,173","-1,549","5,531",242,0,0,"-36,262",0,"-8,916",0,0,"1,093,425"
2010-02-04,"477,107","441,022","175,841","6,192","-5,833","9,714",176,0,0,"-33,584",0,"-8,422",0,0,"1,062,211"
2010-02-05,"462,415","399,341","182,056","5,539","-3,248","8,768",0,0,0,"-25,436",0,"-8,415",0,0,"1,021,019"
2010-02-06,"415,420","319,844","186,650","5,722","-4,853","4,468",0,0,0,"16,789",0,"-6,553",0,0,"937,486"
2010-02-07,"407,080","313,641","187,528","5,340",-266,"3,385",0,0,0,"18,246",0,"-6,908",0,0,"928,045"
2010-02-08,"478,093","431,948","185,613","7,049","-2,811","5,229",69,0,0,"-29,927",0,"-7,414",0,0,"1,067,848"
2010-02-09,"486,601","442,914","186,732","5,032","-3,461","4,854",146,"5,559",0,"-42,428",0,"-7,624",0,0,"1,078,324"
2010-02-10,"499,062","446,568","191,621","4,782","-3,632","2,352",9,0,0,"-42,067",0,"-8,424",0,0,"1,090,270"
2010-02-11,"504,256","451,004","193,660","4,921","-3,078","2,176",486,0,0,"-44,235",0,"-8,607",0,0,"1,100,582"
2010-02-12,"496,934","452,004","182,846","4,251","-3,257","1,730",0,0,0,"-45,841",0,"-9,047",0,0,"1,079,618"
2010-02-13,"469,348","378,052","179,507","2,956","-2,202",924,0,0,0,"-47,570",0,"-6,634",0,0,"974,381"
2010-02-14,"460,701","356,351","178,212","3,077","-6,036","1,509",0,0,0,"-45,875",0,"-5,521",0,0,"942,416"
2010-02-15,"497,734","421,290","178,600","3,710",-926,"5,100",0,0,0,"-39,802",0,"-6,775",0,0,"1,058,929"
2010-02-16,"498,927","431,255","178,509","3,626","-3,277","3,629",0,0,0,"-44,106",0,"-7,392",0,0,"1,061,170"
2010-02-17,"484,121","455,995","178,458","4,132","-4,390","1,822",0,0,0,"-44,467",0,"-8,723",0,0,"1,066,947"
2010-02-18,"500,124","446,726","176,100","3,931","-1,104",268,0,0,0,"-36,384",0,"-8,447",0,0,"1,081,213"
2010-02-19,"490,276","409,825","184,020","4,153","-5,107",432,52,0,0,"-26,219",0,"-8,984",0,0,"1,048,447"
2010-02-20,"447,695","327,685","188,900","3,779","-2,310",539,0,0,0,-719,0,"-7,827",0,0,"957,741"
2010-02-21,"454,854","290,390","191,390","3,466","-7,517","1,300",0,0,0,"8,907",0,"-6,526",0,0,"936,263"
2010-02-22,"490,395","411,686","191,633","4,264","-2,810","1,314",414,0,0,"-18,634",0,"-8,246",0,0,"1,070,015"
2010-02-23,"489,631","401,681","191,776","3,998","-2,317","4,653",3,0,0,-348,0,"-8,259",0,0,"1,080,817"
2010-02-24,"502,183","347,713","190,278","3,536",-673,"17,792",114,0,0,"4,506",0,"-8,040",0,0,"1,057,408"
2010-02-25,"489,319","339,058","191,921","3,429","-2,528","12,623",826,19,0,"14,699",0,"-8,768",0,0,"1,040,596"
2010-02-26,"492,437","302,487","188,309","3,377","-4,967","17,806",0,0,0,"15,861",0,"-7,445",0,0,"1,007,863"
2010-02-27,"487,314","193,464","186,649","3,471","-2,923","12,326",0,0,0,"45,840",0,"-7,496",0,0,"918,644"
2010-02-28,"481,281","192,806","182,289","3,172","-9,028","8,741",0,0,0,"47,502",0,"-6,874",0,0,"899,888"
2010-03-01,"512,553","318,381","183,152","3,386",-362,"2,106",296,0,0,"13,207",0,"-8,616",0,0,"1,024,102"
2010-03-02,"535,222","333,243","185,907","2,814","-2,918","1,617",15,0,0,"-12,269",0,"-9,236",0,0,"1,034,393"
2010-03-03,"533,460","334,684","191,447","2,681","-2,928","1,613",21,0,0,"-16,021",0,"-8,437",0,0,"1,036,519"
2010-03-04,"540,285","336,966","194,183","2,694","-4,176","2,047",0,0,0,"-26,289",0,"-9,137",0,0,"1,036,571"
2010-03-05,"531,235","321,689","201,570","2,928","-2,860","11,780",102,0,0,"-44,415",0,"-9,314",0,0,"1,012,715"
2010-03-06,"511,787","231,073","207,311","2,802","-1,815","2,974",0,0,0,"-35,023",0,"-7,350",0,0,"911,759"
2010-03-07,"518,389","212,863","210,508","3,468",-486,"1,467",913,0,0,"-39,840",0,"-6,867",0,0,"900,414"
2010-03-08,"547,609","337,099","206,724","2,685","-6,962",208,863,15,0,"-44,496",0,"-8,657",0,0,"1,035,086"
2010-03-09,"531,982","350,407","205,106","1,766","-5,123",291,256,"2,171",0,"-39,837",0,"-8,897",0,0,"1,038,121"
2010-03-10,"525,847","355,872","204,439","1,376","-1,460","1,030",375,"2,987",0,"-48,656",0,"-9,011",0,0,"1,032,797"
2010-03-11,"485,040","383,335","205,081","1,680","-2,780","9,266",21,0,0,"-43,267",0,"-9,027",0,0,"1,029,347"
2010-03-12,"482,134","360,471","204,836","2,903","-1,049","6,597",107,0,0,"-43,788",0,"-8,504",0,0,"1,003,705"
2010-03-13,"460,648","255,350","207,459","2,418",-899,"15,157",18,0,0,"-46,244",0,"-7,060",0,0,"886,846"
2010-03-14,"448,964","209,775","209,593","4,545","-5,665","13,866",0,0,0,"-41,088",0,"-6,336",0,0,"833,653"
2010-03-15,"481,022","290,384","214,740","9,423",-819,"16,143",85,0,0,"-46,339",0,"-8,146",0,0,"956,493"
2010-03-16,"465,809","279,052","204,389","9,620",-787,"5,767",0,0,0,"-40,931",0,"-7,582",0,0,"915,335"
2010-03-17,"479,702","302,794","191,849","8,492","-1,670","16,641",0,0,0,"-35,660",0,"-7,573",0,0,"954,574"
2010-03-18,"487,964","245,464","184,627","8,841",-333,"24,292",0,0,0,"-14,469",0,"-7,868",0,0,"928,517"
2010-03-19,"501,262","224,873","172,758","11,574",298,"20,527",122,0,0,"-5,608",0,"-7,616",0,0,"918,189"
2010-03-20,"481,981","133,160","168,636","9,971",-608,"4,803",0,0,0,"46,616",0,"-7,306",0,0,"837,252"
2010-03-21,"472,735","109,511","187,922","7,895","-8,518","3,645",0,0,0,"44,723",0,"-7,686",0,0,"810,226"
2010-03-22,"508,782","211,164","194,692","7,615","-4,415","14,879",0,0,0,"-4,675",0,"-6,796",0,0,"921,245"
2010-03-23,"515,149","252,391","192,160","7,412","3,563","10,589",370,0,0,"-10,524",0,"-7,866",0,0,"963,242"
2010-03-24,"498,036","256,257","185,998","7,242","-6,351","8,871",0,0,0,"8,608",0,"-8,981",0,0,"949,679"
2010-03-25,"499,942","244,136","183,744","8,474",567,"4,512",0,0,0,"15,160",0,"-8,685",0,0,"947,849"
2010-03-26,"495,904","214,933","174,796","8,746","-3,877","12,935",0,0,0,"11,734",0,"-8,890",0,0,"906,280"
2010-03-27,"453,616","129,399","171,457","8,224","-3,997","21,371",0,0,0,"42,752",0,"-7,174",0,0,"815,647"
2010-03-28,"430,137","111,242","164,308","7,158","-3,131","16,509",0,0,0,"40,028",0,"-6,844",0,0,"759,406"
2010-03-29,"500,978","252,137","173,764","7,739","-1,095","7,749",0,0,0,"9,939",0,"-8,276",0,0,"942,935"
2010-03-30,"499,966","235,606","175,878","7,391","-1,273","28,612",0,0,0,"7,624",0,"-6,376",0,0,"947,426"
2010-03-31,"508,265","246,233","168,344","7,826","2,000","22,630",0,0,0,"16,131",0,"-7,596",0,0,"963,832"
2010-04-01,"502,840","278,911","169,049","6,475","-6,481","14,960",0,0,0,"-12,240",0,"-8,089",0,0,"945,423"
2010-04-02,"459,431","225,612","171,353","5,206","-2,693","5,744",0,0,0,"-3,847",0,"-7,470",0,0,"853,335"
2010-04-03,"417,153","188,514","175,922","4,808",217,"2,043",23,0,0,"35,144",0,"-8,034",0,0,"815,790"
2010-04-04,"404,720","152,358","178,034","4,543","-8,494","3,945",0,0,0,"35,148",0,"-7,374",0,0,"762,880"
2010-04-05,"403,696","133,557","177,580","6,111","-5,710","22,449",0,0,0,"33,995",0,"-5,599",0,0,"766,078"
2010-04-06,"430,549","235,076","176,905","13,132","5,441","21,402",0,0,0,"-9,249",0,"-7,883",0,0,"865,372"
2010-04-07,"472,700","275,923","167,917","13,378","1,301","4,511",0,0,0,"-20,302",0,"-7,998",0,0,"907,429"
2010-04-08,"478,923","255,436","165,660","10,661","-5,533","11,961",0,0,0,"-21,447",0,"-7,970",0,0,"887,691"
2010-04-09,"488,701","221,298","161,054","9,742","-4,320","2,749",0,0,0,"-6,601",0,"-7,548",0,0,"865,075"
2010-04-10,"442,492","127,184","160,844","7,459","-1,645","1,628",0,0,0,"29,364",0,"-5,354",0,0,"761,971"
2010-04-11,"424,486","119,153","160,789","6,857","-4,797",964,0,0,0,"34,999",0,"-5,435",0,0,"737,016"
2010-04-12,"473,746","244,925","160,836","6,409","2,815","1,947",0,0,0,"-16,060",0,"-6,744",0,0,"867,873"
2010-04-13,"469,562","271,589","160,874","6,280","-4,248","3,925",0,0,0,"-24,660",0,"-6,608",0,0,"876,713"
2010-04-14,"467,950","286,804","160,716","6,140","-1,387","1,959",0,0,0,"-21,133",0,"-7,147",0,0,"893,902"
2010-04-15,"480,233","281,508","160,173","6,455","-1,867","2,961",0,0,0,"-24,436",0,"-7,535",0,0,"897,491"
2010-04-16,"464,172","254,347","157,415","6,693","-2,187","8,461",104,0,0,"-10,603",0,"-7,271",0,0,"871,130"
2010-04-17,"432,023","138,097","151,823","5,994","-2,472","15,660",89,0,0,"30,513",0,"-4,166",0,0,"767,559"
2010-04-18,"426,954","127,048","156,079","6,429","-3,417","3,055",0,0,0,"34,670",0,"-4,013",0,0,"746,805"
2010-04-19,"463,129","271,998","159,098","6,932",-706,"6,706",0,0,0,"-22,950",0,"-6,317",0,0,"877,888"
2010-04-20,"471,487","243,531","159,090","6,479","-3,872","20,406",1,0,0,"-19,682",0,"-6,897",0,0,"870,543"
2010-04-21,"475,154","268,064","154,385","6,250",-250,"7,069",0,"1,822",0,"-16,957",0,"-6,262",0,0,"889,274"
2010-04-22,"478,727","290,376","150,053","4,805","-5,000","4,941",0,0,0,"-26,397",0,"-6,257",0,0,"891,248"
2010-04-23,"465,360","276,126","145,841","4,913",-237,"1,843",0,0,0,"-18,396",0,"-6,226",0,0,"869,224"
2010-04-24,"458,553","130,420","146,239","4,716","-3,366","3,995",0,0,0,"20,795",0,"-3,058",0,0,"758,293"
2010-04-25,"434,315","113,644","149,042","4,548","-6,652","5,227",0,0,0,"42,937",0,"-2,854",0,0,"740,206"
2010-04-26,"467,195","223,798","154,923","4,592","-3,746","11,297",0,0,0,216,0,"-6,464",0,0,"851,810"
2010-04-27,"469,579","211,604","157,444","5,403",378,"10,929",0,0,0,"4,502",0,"-5,892",0,0,"853,947"
2010-04-28,"461,832","197,923","157,392","6,358","-2,128","20,309",62,0,0,"5,146",0,"-5,437",0,0,"841,456"
2010-04-29,"472,899","216,654","156,792","7,459","-1,492","6,610",0,0,0,"7,905",0,"-5,907",0,0,"860,919"
2010-04-30,"466,470","199,138","149,706","6,541","-1,434","2,923",8,0,0,"17,906",0,"-5,770",0,0,"835,486"
2010-05-01,"432,618","122,908","146,804","5,770","-2,570","4,184",0,0,0,"46,518",0,"-4,565",0,0,"751,665"
2010-05-02,"437,360","104,928","146,641","5,606","-5,398","1,700",0,0,0,"46,086",0,"-3,958",0,0,"732,964"
2010-05-03,"444,513","151,357","141,379","5,420","-3,349","2,081",344,0,0,"-6,377",0,"-7,210",0,0,"728,156"
2010-05-04,"448,870","244,253","134,043","5,023",909,"5,873",197,0,0,"-7,800",0,"-7,884",0,0,"823,482"
2010-05-05,"477,502","271,057","151,355","5,183","-2,604","1,979",0,0,0,"-7,490",0,"-7,755",0,0,"889,225"
2010-05-06,"477,767","264,485","155,140","4,658","1,187","5,961",0,0,0,"-23,171",0,"-7,659",0,0,"878,367"
2010-05-07,"490,526","237,466","142,796","4,503","-1,810","11,052",0,0,0,"-21,447",0,"-8,072",0,0,"855,013"
2010-05-08,"427,164","183,190","137,973","3,839","-1,935","4,896",0,0,0,"25,527",0,"-6,683",0,0,"773,970"
2010-05-09,"432,948","158,333","136,040","3,941","-5,883","2,973",0,0,0,"39,651",0,"-7,159",0,0,"760,844"
2010-05-10,"494,490","260,918","136,413","4,164",-580,"5,078",205,0,0,"-15,041",0,"-7,760",0,0,"877,886"
2010-05-11,"481,228","280,559","136,163","3,349","-7,633","1,501",19,0,0,"3,537",0,"-7,779",0,0,"890,942"
2010-05-12,"467,952","309,949","135,141","3,189","-2,284","1,912",15,0,0,"-11,666",0,"-7,374",0,0,"896,831"
2010-05-13,"472,034","239,676","123,832","2,927","-4,959","11,493",0,0,0,"38,646",0,"-8,012",0,0,"875,636"
2010-05-14,"499,125","231,750","119,857","2,862","-1,528","2,811",0,0,0,"11,014",0,"-7,810",0,0,"858,079"
2010-05-15,"451,602","129,773","121,033","2,729","-1,173","9,417",0,0,0,"41,816",0,"-5,031",0,0,"750,165"
2010-05-16,"441,582","122,521","121,154","3,014","-3,536","4,475",0,0,0,"45,270",0,"-5,226",0,0,"729,252"
2010-05-17,"487,604","228,635","133,800","3,375","-3,566","2,093",0,0,0,536,0,"-8,062",0,0,"844,413"
2010-05-18,"491,425","235,493","134,929","2,976","-2,100","3,459",0,0,0,"-8,553",0,"-8,072",0,0,"849,556"
2010-05-19,"487,886","236,325","133,141","3,074",-699,"3,623",0,0,0,"-8,796",0,"-8,018",0,0,"846,535"
2010-05-20,"449,764","219,830","120,907","3,018","-5,274","1,144",0,0,0,"-7,466",0,"-8,064",0,0,"773,857"
2010-05-21,"482,248","226,656","124,750","5,245",550,558,0,0,0,"-1,853",0,"-7,894",0,0,"830,259"
2010-05-22,"426,845","137,255","116,251","3,506","-2,449","2,500",0,0,0,"45,542",0,"-6,979",0,0,"722,470"
2010-05-23,"407,258","133,673","120,504","3,052","-8,944","3,571",0,0,0,"45,587",0,"-7,155",0,0,"697,544"
2010-05-24,"442,845","205,150","128,082","4,446","-1,082","5,608",293,0,0,"45,518",0,"-8,074",0,0,"822,785"
2010-05-25,"463,892","228,305","128,015","2,649","-4,597","2,407",0,0,0,"10,039",0,"-8,487",0,0,"822,221"
2010-05-26,"476,136","215,363","131,030","2,700",-504,"3,280",0,0,0,"7,031",0,"-8,076",0,0,"826,959"
2010-05-27,"472,103","211,435","136,689","2,897","-5,208","5,033",0,0,0,"6,522",0,"-7,950",0,0,"821,520"
2010-05-28,"470,161","166,602","141,736","2,710","-3,364","4,737",0,0,0,"20,291",0,"-7,951",0,0,"794,921"
2010-05-29,"426,226","106,579","142,548","3,132",520,"1,982",0,0,0,"46,922",0,"-6,069",0,0,"721,838"
2010-05-30,"398,580","75,748","144,751","2,480","-6,720","6,613",0,0,0,"47,844",0,"-6,378",0,0,"662,916"
2010-05-31,"435,332","102,733","145,486","2,676","-4,228","3,150",0,0,0,"21,729",0,"-6,486",0,0,"700,391"
2010-06-01,"453,871","204,132","145,772","2,906","-1,793","6,208",0,0,0,"15,614",0,"-8,108",0,0,"818,600"
2010-06-02,"462,120","164,997","145,422","3,029","-2,147","7,972",0,0,0,"31,977",0,"-8,500",0,0,"804,870"
2010-06-03,"441,856","183,554","134,851","3,464",-620,"2,029",0,0,0,"45,887",0,"-8,119",0,0,"802,900"
2010-06-04,"434,654","202,206","131,735","2,873","-2,725","4,664",0,0,0,"29,242",0,"-7,575",0,0,"795,073"
2010-06-05,"408,933","132,793","133,078","3,328",-343,501,0,0,0,"45,043",0,"-4,952",0,0,"718,381"
2010-06-06,"391,867","131,043","133,632","2,943","-4,002",606,0,0,0,"47,767",0,"-4,336",0,0,"699,520"
2010-06-07,"449,731","210,555","132,304","3,618",-333,457,100,0,0,"26,177",0,"-6,638",0,0,"815,969"
2010-06-08,"452,567","229,681","125,448","2,720","-7,914","3,841",0,0,0,"29,191",0,"-6,402",0,0,"829,131"
2010-06-09,"425,462","243,074","127,091","2,713","-4,394","18,341",336,0,0,"19,979",0,"-6,007",0,0,"826,594"
2010-06-10,"432,546","234,901","126,236","2,952","-2,193","6,599",128,0,0,"27,726",0,"-5,807",0,0,"823,087"
2010-06-11,"431,324","208,696","125,812","2,689","-2,027","9,551",43,0,0,"35,093",0,"-6,334",0,0,"804,845"
2010-06-12,"387,729","135,746","129,178","2,232","-3,065","8,310",0,0,0,"47,224",0,"-5,954",0,0,"701,399"
2010-06-13,"400,855","117,636","133,898","2,397","-2,744","2,175",0,0,0,"47,790",0,"-3,065",0,0,"698,941"
2010-06-14,"434,452","224,976","133,905","2,426","-4,908","1,917",16,0,0,"21,176",0,-108,0,0,"813,850"
2010-06-15,"444,360","212,625","133,618","2,030","1,030",789,0,0,0,"20,902",0,-7,0,0,"815,346"
2010-06-16,"433,725","216,196","135,513","2,257","-5,586",860,0,0,0,"33,234",0,0,0,0,"816,198"
2010-06-17,"434,445","213,386","137,109","2,279","1,458","1,821",0,0,0,"25,525",0,0,0,0,"816,022"
2010-06-18,"411,311","231,568","131,544","1,763","-5,901","4,896",21,0,0,"29,194",0,0,0,0,"804,395"
2010-06-19,"354,636","145,272","134,188","1,511","-4,014","10,742",0,0,0,"47,196",0,0,0,0,"689,530"
2010-06-20,"350,680","134,604","140,456","1,653","-1,946","3,571",8,0,0,"47,442",0,0,0,0,"676,466"
2010-06-21,"395,488","245,401","142,079","1,485","-1,990",879,0,0,0,"25,119",0,0,0,0,"808,459"
2010-06-22,"394,136","249,651","144,528","1,743","-5,089","3,243",0,0,0,"34,831",0,0,0,0,"823,042"
2010-06-23,"406,204","236,719","140,303","2,156",-205,"5,768",0,0,0,"32,641",0,0,0,0,"823,585"
2010-06-24,"411,666","245,809","139,497","1,975","-3,364","7,250",0,0,0,"24,662",0,0,0,0,"827,494"
2010-06-25,"420,462","224,613","141,215","2,074","-4,230","1,024",4,0,0,"26,789",0,0,0,0,"811,949"
2010-06-26,"384,429","136,905","139,517","1,977","-1,531","3,636",458,0,0,"45,502",0,0,0,0,"710,892"
2010-06-27,"360,071","129,432","138,839","1,959","-4,024","10,935",0,0,0,"46,673",0,0,0,0,"683,884"
2010-06-28,"414,676","223,869","139,666","2,032",-972,"7,675",0,12,0,"25,174",0,0,0,0,"812,132"
2010-06-29,"427,434","246,773","145,586","2,588","-1,324","2,431",0,0,0,"11,709",0,0,0,0,"835,195"
2010-06-30,"413,877","248,626","143,251","2,187","-4,875","4,227",0,0,0,"25,849",0,0,0,0,"833,141"
2010-07-01,"411,976","228,129","141,715","2,515","-2,303","17,332",0,0,0,"5,438",0,0,0,0,"804,801"
2010-07-02,"398,284","246,814","136,436","2,600","-1,407","17,924",331,0,0,"6,665",0,0,0,0,"807,645"
2010-07-03,"365,656","149,604","132,533","2,201","-3,842","16,284",124,0,0,"42,636",0,0,0,0,"705,194"
2010-07-04,"353,382","113,866","132,661","2,580","-7,907","26,586",0,0,0,"44,143",0,0,0,0,"665,310"
2010-07-05,"411,923","210,355","131,989","3,551","4,335","17,016",0,0,0,"15,954",0,0,0,0,"795,123"
2010-07-06,"393,733","232,929","132,853","2,887","-2,952","14,102",1,39,0,"37,040",0,0,0,0,"810,631"
2010-07-07,"376,269","238,973","136,414","2,701","-3,705","23,845",2,1,0,"35,828",0,0,0,0,"810,327"
2010-07-08,"396,649","257,043","134,088","3,711","2,751","15,672",307,0,0,"19,366",0,"-3,964",0,0,"825,621"
2010-07-09,"380,182","298,974","128,527","3,259","-1,365","8,949",2,0,0,"11,404",0,"-5,894",0,0,"824,037"
2010-07-10,"299,511","257,596","130,401","4,623","-2,506","3,445","1,030",0,0,"40,008",0,"-4,063",0,0,"730,043"
2010-07-11,"303,330","193,930","130,513","5,006","-7,981","18,801",286,0,0,"44,644",0,"-4,624",0,0,"683,904"
2010-07-12,"376,239","288,720","132,033","6,463","-1,080",989,2,"1,465",0,"20,105",0,"-7,193",0,0,"817,742"
2010-07-13,"387,226","275,797","132,140","6,012","-3,290","5,060",9,0,0,"31,422",0,"-7,777",0,0,"826,598"
2010-07-14,"369,986","251,993","138,731","6,477",-19,"17,885",129,0,0,"46,884",0,"-7,516",0,0,"824,549"
2010-07-15,"366,418","255,112","136,013","7,797","-2,344","8,698",0,0,0,"34,322",0,"-6,873",0,0,"799,141"
2010-07-16,"387,182","214,907","136,656","8,527","-6,342","16,569",0,0,0,"24,558",0,"-6,820",0,0,"775,236"
2010-07-17,"348,124","141,231","139,761","8,042","-2,222","15,656",35,0,0,"44,191",0,"-4,175",0,0,"690,641"
2010-07-18,"337,885","136,124","139,959","7,056","-3,794","11,482",0,0,0,"46,482",0,"-3,874",0,0,"671,319"
2010-07-19,"404,327","243,333","139,384","7,289","-2,069","7,035",4,0,0,"16,875",0,"-6,734",0,0,"809,443"
2010-07-20,"409,538","277,385","141,564","7,153",858,"1,141",0,0,0,"12,611",0,"-7,608",0,0,"842,641"
2010-07-21,"418,180","243,928","143,860","7,341","-2,291","6,295",2,0,0,"20,501",0,"-7,376",0,0,"830,439"
2010-07-22,"429,108","221,269","144,692","7,980",-676,"3,325",0,0,0,"17,722",0,"-7,696",0,0,"815,723"
2010-07-23,"417,113","208,834","133,582","6,901","-2,158","1,159",0,0,0,"34,613",0,"-7,796",0,0,"792,247"
2010-07-24,"381,852","143,212","130,443","5,380",63,"2,615",548,0,0,"46,266",0,"-6,444",0,0,"703,934"
2010-07-25,"373,869","130,232","130,347","4,356","-3,038","6,713",0,0,0,"47,007",0,"-6,473",0,0,"683,012"
2010-07-26,"426,495","204,537","129,038","6,139","-2,210","3,641",11,0,0,"43,202",0,"-8,018",0,0,"802,833"
2010-07-27,"429,578","212,313","129,178","3,977","-4,366","7,716",200,0,0,"41,520",0,"-8,034",0,0,"812,082"
2010-07-28,"429,681","196,937","129,241","4,032","-1,209","6,319",20,0,0,"40,513",0,"-7,288",0,0,"798,245"
2010-07-29,"435,142","185,718","127,995","4,572",-523,"3,182",33,0,0,"43,273",0,"-7,739",0,0,"791,652"
2010-07-30,"431,920","184,603","122,467","4,417","-4,582","4,841",15,0,0,"44,898",0,"-7,411",0,0,"781,168"
2010-07-31,"406,077","111,091","121,983","4,604",726,"7,013",0,0,0,"46,443",0,"-4,932",0,0,"693,004"
2010-08-01,"393,442","109,041","126,746","4,839","-6,091","4,264",0,0,0,"47,760",0,"-5,775",0,0,"674,225"
2010-08-02,"429,981","190,693","122,512","3,638","-2,698",866,0,0,0,"45,391",0,"-7,895",0,0,"782,488"
2010-08-03,"433,955","182,201","125,603","3,594","-4,137","5,358",4,0,0,"45,788",0,"-7,593",0,0,"784,771"
2010-08-04,"391,910","223,762","118,922","3,740","3,298","4,449",0,0,0,"47,491",0,"-7,546",0,0,"786,026"
2010-08-05,"412,455","190,887","126,623","3,739","-4,051","3,992",0,0,0,"47,547",0,"-8,123",0,0,"773,069"
2010-08-06,"397,785","199,557","126,734","3,624","-2,246","3,644",0,0,0,"45,887",0,"-8,130",0,0,"766,855"
2010-08-07,"357,476","164,977","126,714","4,292",462,"2,391",60,0,0,"47,260",0,"-7,247",0,0,"696,383"
2010-08-08,"351,545","154,204","130,366","3,490","-6,846","1,454",0,0,0,"46,649",0,"-6,742",0,0,"674,119"
2010-08-09,"396,681","207,484","131,152","4,199","1,215","5,259",0,0,0,"46,764",0,"-8,380",0,0,"784,373"
2010-08-10,"402,456","217,939","131,158","6,069","-2,890","2,443",0,0,0,"46,509",0,"-7,464",0,0,"796,219"
2010-08-11,"407,772","210,610","124,355","4,620","-6,295","10,783",0,0,0,"46,729",0,"-8,834",0,0,"789,739"
2010-08-12,"413,909","191,812","132,469","5,294",311,"8,834",0,0,0,"46,127",0,"-8,312",0,0,"790,443"
